index,Id,Name,crop,Description ,Precaution-1,Precaution-2,Precaution-3,Pesticide-1,Pesticide-2,Pesticide-3
0,Apple___Apple_scab,Apple Scab,Apple,"Apple scab is a fungal disease caused by Venturia inaequalis that affects apple trees. It leads to the formation of dark, scaly lesions or scabs on the leaves, fruit, and twigs. Severe infections can cause defoliation and reduce fruit production.",Plant Resistant Varieties: Choose apple tree varieties that are resistant to apple scab to reduce the risk of infection.,"Prune trees to improve air circulation and sunlight penetration, which helps in reducing the humidity and moisture that favors scab development.","Clean up fallen leaves, infected fruit, and other debris around the tree to minimize overwintering spores and sources of infection.",Fungicides,Horticultural Oils,Biological Control
1,Apple___Black_rot,Apple Black Rot ,Apple,"Apple Black Rot Disease, caused by the fungus Botryosphaeria obtusa, is a common and destructive disease that affects apple trees. It primarily affects the fruit, causing dark, sunken lesions that expand and become mummified. The disease can also infect leaves, twigs, and branches, leading to defoliation and dieback. Black Rot Disease is prevalent in humid and warm regions, particularly during periods of wet weather.","Sanitation: Proper sanitation practices are crucial for preventing the spread of Apple Black Rot Disease. Remove and destroy any infected fruit, leaves, twigs, or branches from the tree and the surrounding area. This helps reduce the fungal inoculum and prevents the disease from spreading.",Pruning and Thinning: Maintain good airflow and sunlight penetration within the tree canopy by pruning and thinning the branches. This helps reduce humidity and creates an unfavorable environment for the fungus to thrive.,Fungicide Application: Apply fungicides during the appropriate timings to protect the apple trees from Black Rot Disease. Consult with local agricultural extension services or experts to determine the most effective fungicides and their recommended application schedules.,Captan,Thiophanate-methyl,Mancozeb
2,Apple___Cedar_apple_rust,Cedar Apple Rust,Apple,"Cedar apple rust is a fungal disease caused by the pathogen Gymnosporangium juniperi-virginianae. It affects both apple and cedar trees. The disease cycle involves alternating between these two host plants. Cedar apple rust can cause significant damage to apple trees, leading to reduced fruit yield and quality.","Removal of Cedar Trees: Since cedar trees act as alternate hosts for the disease, it is advisable to remove any nearby cedar trees if you have apple trees in the vicinity. This helps in breaking the disease cycle and reducing the source of infection.","Timely Pruning: Prune apple trees to improve air circulation and sunlight penetration, which helps in drying out the foliage quickly and inhibiting the growth of the cedar apple rust fungus.",Fungicide Applications: Apply fungicides preventively during the spring to protect apple trees from cedar apple rust infection. Fungicides should be used according to local regulations and recommendations.,Fungicides,Lime-Sulfur Spray,Thiophanate-methyl
3,Cherry_(including_sour)___Powdery_mildew,Cherry Powdery Mildew,Cherry ,"Cherry Powdery Mildew is a fungal disease that affects cherry trees, causing a powdery white or grayish coating on the leaves, shoots, flowers, and fruit. The disease is caused by the fungus Podosphaera clandestina. It thrives in warm and humid conditions and can spread rapidly, especially in crowded or poorly ventilated orchards.","Proper Sanitation: Maintain good orchard hygiene by removing and destroying infected plant material, including fallen leaves and pruned branches. This helps reduce the chances of disease recurrence in subsequent seasons.",Adequate Air Circulation: Ensure proper spacing between cherry trees to allow for adequate air circulation. Good air movement helps reduce humidity levels and discourages the development and spread of powdery mildew.,"Irrigation Management: Avoid overhead irrigation, especially during late afternoon or evening, as it promotes prolonged leaf wetness. Instead, use drip or soaker hoses to deliver water directly to the soil, minimizing moisture on the foliage.",Sulfur-based Fungicides,Triazole Fungicides,Biological Control Agents
4,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Cercospora Leaf Spot,Corn,"Cercospora Leaf Spot is a common fungal disease that affects corn, also known as maize, caused by the pathogen Cercospora zeae-maydis. It primarily affects the leaves of the plant, causing small, circular to oval lesions that start off grayish and later turn tan or brown. The lesions may have a yellow halo surrounding them. Severe infections can lead to premature defoliation and reduce the plant's overall vigor and yield.",Crop Rotation: Practice crop rotation by avoiding planting corn in the same field or nearby areas where the disease was prevalent in the previous season. This helps break the disease cycle by interrupting the survival and spread of the pathogen.,"Field Sanitation: Remove and destroy crop residues, including infected leaves and plant debris, after harvest. This reduces the potential for the pathogen to survive and infect subsequent crops. Avoid leaving infected residues in the field or tilling them into the soil.","Proper Irrigation Management: Avoid overhead irrigation or excessive moisture on the foliage, as it creates favorable conditions for disease development. Instead, use drip irrigation or other methods that deliver water directly to the soil, minimizing leaf wetness",Triazole Fungicides,Strobilurin Fungicides,Mancozeb
5,Corn_(maize)___Common_rust_,Corn Common Rust,Corn,"Common Rust is a fungal disease that commonly affects corn, also known as maize, caused by the pathogen Puccinia sorghi. It typically appears as small, reddish-brown to orange pustules on the leaves, husks, and other above-ground parts of the plant. As the disease progresses, the pustules may merge, forming larger rusty-brown patches. Severe infections can lead to reduced photosynthesis, premature senescence, and yield loss.",Resistant Varieties: Planting corn varieties that have been bred to be resistant to Common Rust can help minimize the impact of the disease. Consult with local agricultural experts or seed suppliers to identify suitable resistant varieties for your region.,Crop Rotation: Practice crop rotation by avoiding planting corn in the same field or nearby areas where the disease was prevalent in the previous season. This helps break the disease cycle by reducing the presence of inoculum in the soil.,"Timely Planting: Optimize planting timing to minimize exposure of susceptible corn plants to peak disease pressure. Early planting can help establish plants before rust spores become abundant, reducing the risk of infection and disease development.",Triazole Fungicides,Strobilurin Fungicides,Copper-based Fungicides
6,Corn_(maize)___Northern_Leaf_Blight,Corn Northern Leaf Blight,Corn,"Northern Leaf Blight Disease is a common foliar disease of corn (maize) caused by the fungus Exserohilum turcicum. It primarily affects the leaves, causing long, elliptical lesions that are grayish-green in color and may develop tan or brown necrotic areas. The lesions often run parallel to the leaf veins, and severe infections can lead to premature defoliation, reduced photosynthesis, and yield loss. Northern Leaf Blight Disease is favored by warm and humid conditions and can spread rapidly in fields with dense corn plantings.",Crop Rotation: Practice crop rotation by avoiding planting corn in the same field or nearby fields for consecutive years. This helps break the disease cycle and reduces the inoculum levels in the soil.,Resistant Varieties: Plant corn varieties that are resistant or tolerant to Northern Leaf Blight Disease. Consult with local agricultural extension services or seed suppliers to identify suitable varieties that have demonstrated resistance to the specific strains of the fungus prevalent in your area.,"Fungicide Timing and Application: Apply fungicides preventively to protect corn plants from Northern Leaf Blight Disease. The timing of fungicide application is crucial and should be based on local disease forecasting models and recommendations. Follow the manufacturer's instructions regarding dosage, application method, and safety precautions.",Triazole Fungicides,Strobilurin Fungicides,Chlorothalonil
7,Grape___Black_rot,Grape Black Rot,Grapes,"Grape Black Rot Disease, caused by the fungus Guignardia bidwellii, is a destructive fungal disease that affects grapevines. It primarily affects the fruit, but can also infect leaves, shoots, and tendrils. ",Pruning and Canopy Management: Practice proper pruning and canopy management techniques to improve air circulation and sunlight penetration within the grapevine canopy. ,"Sanitation and Disease Removal: Remove and destroy any infected fruit, leaves, or plant debris from the vineyard. This helps reduce the source of inoculum and prevents the disease from spreading to healthy plant parts. Regularly monitor the vines and promptly remove any signs of infection.",Fungicide Application: Apply fungicides as part of a comprehensive disease management strategy. Fungicides can help protect the grapevines from Black Rot Disease. Consult with local agricultural extension services or experts to determine the most effective fungicides and their recommended application schedules based on your specific region and grape variety.,Mancozeb,Captan,Myclobutanil
8,Grape___Esca_(Black_Measles),Grape Esca (Black Measles),Grapes,"Grape Esca, also known as Black Measles, is a complex and destructive fungal disease that affects grapevines. It is caused by several fungi, including Phaeomoniella chlamydospora, Phaeoacremonium spp., and Fomitiporia mediterranea. Esca affects the woody tissues of the vine, leading to various symptoms, including leaf discoloration, ""tiger stripes"" on the leaves, black streaks in the wood, and the formation of black fungal structures within the wood. ","Plant Selection and Certified Plant Material: Start with healthy, disease-free planting material from reputable nurseries. Choose grapevine varieties that are known to have some resistance to Esca. ","Sanitation and Pruning: Practice meticulous sanitation by removing and destroying any infected wood, prunings, or debris from the vineyard. Promptly prune and remove infected shoots, canes, or arms during dormant seasons to reduce the source of inoculum.",Canopy Management and Vine Health: Implement proper canopy management techniques to improve air circulation and sunlight penetration. This helps reduce humidity and create an environment less favorable for fungal growth. ,Trichoderma-based Products,Benzothiadiazole (BTH),Fungicide Combination Treatments
9,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Isariopsis Leaf Spot (Grape Leaf Blight),Grapes,"Isariopsis Leaf Spot, also known as Grape Leaf Blight, is a fungal disease caused by the pathogen Isariopsis viticola. It primarily affects grapevines, causing small, circular to irregular brown spots on the leaves. As the disease progresses, the spots may expand and develop a grayish-white center with a dark brown margin. ","Canopy Management: Practice proper canopy management techniques, including pruning, trellising, and training, to improve air circulation within the grapevine canopy. Good airflow helps reduce humidity and creates an unfavorable environment for disease development.",Adequate Sunlight Exposure: Ensure that the grapevines receive adequate sunlight by minimizing shading from excessive foliage or nearby structures. Sufficient sunlight exposure promotes foliage drying and inhibits the growth of the fungal pathogen.,"Timely Irrigation: Avoid excessive moisture on the foliage by implementing a well-managed irrigation system. Irrigate early in the day to allow the leaves to dry quickly, reducing the duration of leaf wetness that favors disease development.",Triazole Fungicides,Strobilurin Fungicides,Copper-based Fungicides
